,税金等調整前当期純利益［３ヵ月］,税金等調整前当期純利益［累計］,四半期
0,,791.0,Q4
1,,770.0,Q2
2,,980.0,Q4
3,,1017.0,Q2
4,,930.0,Q4
5,,1799.0,Q2
6,,311.0,Q4
7,,1895.0,Q1
8,,-439.0,Q2
9,,439.0,Q3
10,,439.0,Q4
11,,2262.5,Q1
12,,-685.5,Q2
13,,685.5,Q3
14,,685.5,Q4
15,,2446.0,Q1
16,,-554.0,Q2
17,,554.0,Q3
18,,554.0,Q4
19,,2863.0,Q1
20,,-764.0,Q2
21,,764.0,Q3
22,,764.0,Q4
23,,1899.5,Q1
24,,-787.5,Q2
25,,787.5,Q3
26,,787.5,Q4
27,960.0,960.0,Q1
28,1535.0,1536.0,Q2
29,448.0,448.0,Q3
30,448.0,-84.0,Q4
31,760.0,760.0,Q1
32,487.0,487.0,Q2
33,647.0,647.0,Q3
34,647.0,279.0,Q4
35,355.0,355.0,Q1
36,-547.0,-546.0,Q2
37,1728.0,1727.0,Q3
38,1728.0,-682.0,Q4
39,813.0,813.0,Q1
40,813.0,193.0,Q2
41,813.0,330.0,Q3
42,813.0,506.0,Q4
43,712.0,712.0,Q1
44,712.0,-103.0,Q2
45,712.0,1333.0,Q3
46,712.0,463.0,Q4
47,1315.0,1315.0,Q1
48,1315.0,1643.0,Q2
49,1315.0,1452.0,Q3
50,1315.0,-324.0,Q4
51,451.0,451.0,Q1
52,451.0,3446.0,Q2
53,451.0,1285.0,Q3
54,451.0,-413.0,Q4
55,490.0,490.0,Q1
56,490.0,914.0,Q2
57,490.0,717.0,Q3
58,490.0,440.0,Q4
59,801.0,801.0,Q1
60,801.0,796.0,Q2
61,801.0,1821.0,Q3
62,801.0,484.0,Q4
63,1103.0,1103.0,Q1
64,1103.0,1296.0,Q2
65,1103.0,1675.0,Q3
66,1103.0,478.0,Q4
67,730.0,730.0,Q1
68,730.0,397.0,Q2
69,730.0,2539.0,Q3
70,730.0,323.0,Q4
71,1005.0,1005.0,Q1
72,1005.0,86.0,Q2
73,1005.0,1642.0,Q3
74,1005.0,279.0,Q4
75,758.0,758.0,Q1
76,758.0,1482.0,Q2
77,758.0,2469.0,Q3
78,758.0,912.0,Q4
79,1590.0,1590.0,Q1
80,1590.0,1829.0,Q2
81,1590.0,2430.0,Q3
82,1590.0,876.0,Q4
83,2650.0,2650.0,Q1
84,2650.0,3422.0,Q2
85,2650.0,2545.0,Q3
86,2650.0,-214.0,Q4
87,2617.0,2617.0,Q1
88,2617.0,936.0,Q2
89,2617.0,3737.0,Q3
90,2617.0,1265.0,Q4
